,Learning Rate,Momentum,Layer 1 size,Layer 2 size,Accuracy
0,0.01,0.1,10,0,0.05
1,0.01,0.1,10,10,0.05
2,0.01,0.1,10,30,0.05
3,0.01,0.1,10,50,0.05
4,0.01,0.1,10,80,0.05
5,0.01,0.1,10,100,0.05
6,0.01,0.1,30,0,0.05
7,0.01,0.1,30,10,0.05
8,0.01,0.1,30,30,0.05
9,0.01,0.1,30,50,0.05
10,0.01,0.1,30,80,0.05
11,0.01,0.1,30,100,0.05
12,0.01,0.1,50,0,0.05
13,0.01,0.1,50,10,0.05
14,0.01,0.1,50,30,0.05
15,0.01,0.1,50,50,0.05
16,0.01,0.1,50,80,0.05
17,0.01,0.1,50,100,0.05
18,0.01,0.1,80,0,0.05
19,0.01,0.1,80,10,0.05
20,0.01,0.1,80,30,0.05
21,0.01,0.1,80,50,0.05
22,0.01,0.1,80,80,0.05
23,0.01,0.1,80,100,0.05
24,0.01,0.1,100,0,0.05
25,0.01,0.1,100,10,0.05500000000000001
26,0.01,0.1,100,30,0.05
27,0.01,0.1,100,50,0.05
28,0.01,0.1,100,80,0.05
29,0.01,0.1,100,100,0.05
30,0.01,0.5,10,0,0.05
31,0.01,0.5,10,10,0.05
32,0.01,0.5,10,30,0.05
33,0.01,0.5,10,50,0.05
34,0.01,0.5,10,80,0.05
35,0.01,0.5,10,100,0.05
36,0.01,0.5,30,0,0.05
37,0.01,0.5,30,10,0.05
38,0.01,0.5,30,30,0.05
39,0.01,0.5,30,50,0.05
40,0.01,0.5,30,80,0.05
41,0.01,0.5,30,100,0.05
42,0.01,0.5,50,0,0.05
43,0.01,0.5,50,10,0.05
44,0.01,0.5,50,30,0.05
45,0.01,0.5,50,50,0.05
46,0.01,0.5,50,80,0.05
47,0.01,0.5,50,100,0.05
48,0.01,0.5,80,0,0.05
49,0.01,0.5,80,10,0.05
50,0.01,0.5,80,30,0.05
51,0.01,0.5,80,50,0.05
52,0.01,0.5,80,80,0.05
53,0.01,0.5,80,100,0.05
54,0.01,0.5,100,0,0.04
55,0.01,0.5,100,10,0.05500000000000001
56,0.01,0.5,100,30,0.05
57,0.01,0.5,100,50,0.05
58,0.01,0.5,100,80,0.05
59,0.01,0.5,100,100,0.05
60,0.01,1.0,10,0,0.085
61,0.01,1.0,10,10,0.05
62,0.01,1.0,10,30,0.05
63,0.01,1.0,10,50,0.05
64,0.01,1.0,10,80,0.05
65,0.01,1.0,10,100,0.05
66,0.01,1.0,30,0,0.05
67,0.01,1.0,30,10,0.05
68,0.01,1.0,30,30,0.05
69,0.01,1.0,30,50,0.05
70,0.01,1.0,30,80,0.05
71,0.01,1.0,30,100,0.05
72,0.01,1.0,50,0,0.05500000000000001
73,0.01,1.0,50,10,0.05500000000000001
74,0.01,1.0,50,30,0.05
75,0.01,1.0,50,50,0.05
76,0.01,1.0,50,80,0.05
77,0.01,1.0,50,100,0.05
78,0.01,1.0,80,0,0.05
79,0.01,1.0,80,10,0.05
80,0.01,1.0,80,30,0.05
81,0.01,1.0,80,50,0.05
82,0.01,1.0,80,80,0.05
83,0.01,1.0,80,100,0.05
84,0.01,1.0,100,0,0.05
85,0.01,1.0,100,10,0.05
86,0.01,1.0,100,30,0.05
87,0.01,1.0,100,50,0.05
88,0.01,1.0,100,80,0.05
89,0.01,1.0,100,100,0.05
90,0.1,0.1,10,0,0.05
91,0.1,0.1,10,10,0.05
92,0.1,0.1,10,30,0.05
93,0.1,0.1,10,50,0.05
94,0.1,0.1,10,80,0.05
95,0.1,0.1,10,100,0.05
96,0.1,0.1,30,0,0.05
97,0.1,0.1,30,10,0.05
98,0.1,0.1,30,30,0.05
99,0.1,0.1,30,50,0.05500000000000001
100,0.1,0.1,30,80,0.05
101,0.1,0.1,30,100,0.05
102,0.1,0.1,50,0,0.05
103,0.1,0.1,50,10,0.05
104,0.1,0.1,50,30,0.05
105,0.1,0.1,50,50,0.05
106,0.1,0.1,50,80,0.05
107,0.1,0.1,50,100,0.05
108,0.1,0.1,80,0,0.05
109,0.1,0.1,80,10,0.05
110,0.1,0.1,80,30,0.05
111,0.1,0.1,80,50,0.05500000000000001
112,0.1,0.1,80,80,0.05
113,0.1,0.1,80,100,0.045
114,0.1,0.1,100,0,0.155
115,0.1,0.1,100,10,0.05
116,0.1,0.1,100,30,0.05
117,0.1,0.1,100,50,0.05
118,0.1,0.1,100,80,0.05
119,0.1,0.1,100,100,0.05
120,0.1,0.5,10,0,0.05
121,0.1,0.5,10,10,0.05
122,0.1,0.5,10,30,0.05
123,0.1,0.5,10,50,0.035
124,0.1,0.5,10,80,0.045
125,0.1,0.5,10,100,0.07500000000000001
126,0.1,0.5,30,0,0.07
127,0.1,0.5,30,10,0.05
128,0.1,0.5,30,30,0.05
129,0.1,0.5,30,50,0.06999999999999999
130,0.1,0.5,30,80,0.085
131,0.1,0.5,30,100,0.03
132,0.1,0.5,50,0,0.1
133,0.1,0.5,50,10,0.05
134,0.1,0.5,50,30,0.05
135,0.1,0.5,50,50,0.05500000000000001
136,0.1,0.5,50,80,0.085
137,0.1,0.5,50,100,0.095
138,0.1,0.5,80,0,0.315
139,0.1,0.5,80,10,0.05
