,Learning Rate,Momentum,Layer 1 size,Layer 2 size,Accuracy
0,0.01,0.1,10,0,0.05
1,0.01,0.1,30,0,0.05
2,0.01,0.1,50,0,0.05
3,0.01,0.1,80,0,0.05
4,0.01,0.1,100,0,0.05
5,0.01,0.5,10,0,0.05
6,0.01,0.5,30,0,0.05
7,0.01,0.5,50,0,0.05
8,0.01,0.5,80,0,0.05
9,0.01,0.5,100,0,0.045
10,0.01,1.0,10,0,0.09
11,0.01,1.0,30,0,0.05
12,0.01,1.0,50,0,0.05
13,0.01,1.0,80,0,0.05
14,0.01,1.0,100,0,0.05
15,0.1,0.1,10,0,0.05
16,0.1,0.1,30,0,0.045
17,0.1,0.1,50,0,0.05500000000000001
18,0.1,0.1,80,0,0.11000000000000001
19,0.1,0.1,100,0,0.215
20,0.1,0.5,10,0,0.05
21,0.1,0.5,30,0,0.085
22,0.1,0.5,50,0,0.14
23,0.1,0.5,80,0,0.385
24,0.1,0.5,100,0,0.58
25,0.1,1.0,10,0,0.05
26,0.1,1.0,30,0,0.625
27,0.1,1.0,50,0,0.30500000000000005
28,0.1,1.0,80,0,0.775
29,0.1,1.0,100,0,0.6900000000000001
30,1.0,0.1,10,0,0.4
31,1.0,0.1,30,0,0.755
32,1.0,0.1,50,0,0.8
33,1.0,0.1,80,0,0.8
34,1.0,0.1,100,0,0.8150000000000001
35,1.0,0.5,10,0,0.55
36,1.0,0.5,30,0,0.785
37,1.0,0.5,50,0,0.8150000000000001
38,1.0,0.5,80,0,0.78
39,1.0,0.5,100,0,0.8150000000000001
40,1.0,1.0,10,0,0.75
41,1.0,1.0,30,0,0.76
42,1.0,1.0,50,0,0.7899999999999999
43,1.0,1.0,80,0,0.8
44,1.0,1.0,100,0,0.8
